"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MT-CO1.9",1.17617909178285e-05,-0.469643806635849,0.966,0.931,0.270697617973824,"15","MT-CO1"
"MS4A6A.4",1.18682197105396e-05,0.632240794808819,0.368,0.181,0.273147076638069,"15","MS4A6A"
"TRAPPC1.2",1.22739386423743e-05,0.532090524765039,0.391,0.189,0.282484697854244,"15","TRAPPC1"
"MT-CO2.7",1.25424802784818e-05,-0.469928446069795,0.966,0.969,0.288665183609258,"15","MT-CO2"
"DPP7",1.28881614252697e-05,0.665064710154913,0.345,0.167,0.296621035202583,"15","DPP7"
"GNLY.15",1.48300210338137e-05,-3.35591816662338,0.149,0.334,0.341312934093222,"15","GNLY"
"TOMM20",1.67998854834654e-05,0.496242368199479,0.356,0.171,0.386649364401956,"15","TOMM20"
"TUBB.1",1.78011156551815e-05,0.466764048143249,0.368,0.178,0.409692676804003,"15","TUBB"
"RBM6",1.85443310173808e-05,0.652419175445918,0.276,0.12,0.42679777836502,"15","RBM6"
"BRK1.4",1.86695098980762e-05,0.68659889989907,0.425,0.233,0.429678770304224,"15","BRK1"
"NPM1.11",2.17657381877047e-05,0.663007649474627,0.575,0.348,0.500938464390023,"15","NPM1"
"PSMA2.2",2.25935786473736e-05,0.539029738705274,0.356,0.175,0.519991212569303,"15","PSMA2"
"COX8A.9",2.26549498208621e-05,0.601449352377255,0.483,0.264,0.521403670127142,"15","COX8A"
"SH3KBP1.1",2.45662570007111e-05,0.539258727669725,0.333,0.159,0.565392404871365,"15","SH3KBP1"
"RBM38.2",2.52993544477905e-05,0.419733655507416,0.253,0.106,0.582264642615899,"15","RBM38"
"NAPA.1",3.26847917015867e-05,0.633092335829654,0.253,0.11,0.752240481012019,"15","NAPA"
"RPS2.12",3.28480888183101e-05,0.438442437483372,0.931,0.798,0.755998764153406,"15","RPS2"
"SAP18.1",3.41138945109377e-05,0.715125624445888,0.402,0.213,0.785131282169232,"15","SAP18"
"CD48.11",3.47292526007206e-05,-1.03309552143031,0.149,0.357,0.799293748605585,"15","CD48"
"H1FX.2",4.13507117721797e-05,0.625039510776254,0.356,0.187,0.951686631436715,"15","H1FX"
"MLF2",4.47093720284122e-05,0.721175907328273,0.264,0.121,1,"15","MLF2"
"SMCHD1.7",4.51397938508311e-05,-1.62816669497726,0.092,0.278,1,"15","SMCHD1"
"RAB11FIP1.2",4.63331228489341e-05,0.355002099873026,0.368,0.182,1,"15","RAB11FIP1"
"BTG1.11",4.71078310395124e-05,-0.837171550620966,0.425,0.592,1,"15","BTG1"
"SPCS3.2",4.85865156547755e-05,0.456036001087451,0.299,0.14,1,"15","SPCS3"
"S100A10.14",4.9999146062208e-05,-0.883523608662005,0.253,0.444,1,"15","S100A10"
"CANX.3",5.61671186010679e-05,0.688462161317598,0.333,0.17,1,"15","CANX"
"SUB1.6",5.89969731285456e-05,0.542229476365025,0.586,0.378,1,"15","SUB1"
